tx_id,rule_id,relation
T0402,ROUND_NUMBER_ANOMALY,violates
T0220,KYC_EXPIRED,violates
T0396,ROUND_NUMBER_ANOMALY,violates
T0399,ROUND_NUMBER_ANOMALY,violates
T0184,SANCTIONS,compliant
T0198,KYC_EXPIRED,violates
T0397,ROUND_NUMBER_ANOMALY,violates
T0061,AML_THRESHOLD,compliant
T0121,STRUCTURING,compliant
T0398,ROUND_NUMBER_ANOMALY,violates
T0046,AML_THRESHOLD,compliant
T0156,SANCTIONS,violates
T0251,HIGH_RISK_JURISDICTION,violates
T0051,AML_THRESHOLD,compliant
T0060,AML_THRESHOLD,compliant
T0193,KYC_EXPIRED,violates
T0236,KYC_EXPIRED,compliant
T0029,AML_THRESHOLD,violates
T0052,AML_THRESHOLD,compliant
T0181,SANCTIONS,compliant
T0204,KYC_EXPIRED,violates
T0338,VELOCITY,compliant
T0339,VELOCITY,compliant
T0381,DORMANT_REACTIVATION,compliant
T0031,AML_THRESHOLD,violates
T0115,STRUCTURING,compliant
T0357,DORMANT_REACTIVATION,violates
T0383,DORMANT_REACTIVATION,compliant
T0010,AML_THRESHOLD,violates
T0167,SANCTIONS,violates
T0192,KYC_EXPIRED,violates
T0292,HIGH_RISK_JURISDICTION,compliant
T0180,SANCTIONS,compliant
T0207,KYC_EXPIRED,violates
T0255,HIGH_RISK_JURISDICTION,violates
T0050,AML_THRESHOLD,compliant
T0368,DORMANT_REACTIVATION,violates
T0082,STRUCTURING,violates
T0085,STRUCTURING,violates
T0388,DORMANT_REACTIVATION,compliant
T0084,STRUCTURING,violates
T0166,SANCTIONS,violates
T0174,SANCTIONS,compliant
T0239,KYC_EXPIRED,compliant
T0264,HIGH_RISK_JURISDICTION,violates
T0081,STRUCTURING,violates
T0080,AML_THRESHOLD,compliant
T0083,STRUCTURING,violates
T0191,KYC_EXPIRED,violates
T0371,DORMANT_REACTIVATION,compliant
T0131,STRUCTURING,compliant
T0197,KYC_EXPIRED,violates
T0276,HIGH_RISK_JURISDICTION,compliant
T0129,STRUCTURING,compliant
T0315,VELOCITY,violates
T0316,VELOCITY,violates
T0317,VELOCITY,violates
T0318,VELOCITY,violates
T0319,VELOCITY,violates
T0320,VELOCITY,violates
T0321,VELOCITY,violates
T0322,VELOCITY,violates
T0323,VELOCITY,violates
T0324,VELOCITY,violates
T0325,VELOCITY,violates
T0414,ROUND_NUMBER_ANOMALY,compliant
T0210,KYC_EXPIRED,violates
T0021,AML_THRESHOLD,violates
T0057,AML_THRESHOLD,compliant
T0418,ROUND_NUMBER_ANOMALY,compliant
T0268,HIGH_RISK_JURISDICTION,violates
T0288,HIGH_RISK_JURISDICTION,compliant
T0234,KYC_EXPIRED,compliant
T0048,AML_THRESHOLD,compliant
T0216,KYC_EXPIRED,violates
T0237,KYC_EXPIRED,compliant
T0287,HIGH_RISK_JURISDICTION,compliant
T0353,DORMANT_REACTIVATION,violates
T0170,SANCTIONS,violates
T0137,STRUCTURING,compliant
T0281,HIGH_RISK_JURISDICTION,compliant
T0370,DORMANT_REACTIVATION,violates
T0419,ROUND_NUMBER_ANOMALY,compliant
T0267,HIGH_RISK_JURISDICTION,violates
T0009,AML_THRESHOLD,violates
T0162,SANCTIONS,violates
T0416,ROUND_NUMBER_ANOMALY,compliant
T0151,SANCTIONS,violates
T0059,AML_THRESHOLD,compliant
T0209,KYC_EXPIRED,violates
T0272,HIGH_RISK_JURISDICTION,violates
T0215,KYC_EXPIRED,violates
T0244,KYC_EXPIRED,compliant
T0008,AML_THRESHOLD,violates
T0175,SANCTIONS,compliant
T0160,SANCTIONS,violates
T0252,HIGH_RISK_JURISDICTION,violates
T0132,STRUCTURING,compliant
T0256,HIGH_RISK_JURISDICTION,violates
T0073,AML_THRESHOLD,compliant
T0200,KYC_EXPIRED,violates
T0241,KYC_EXPIRED,compliant
T0254,HIGH_RISK_JURISDICTION,violates
T0386,DORMANT_REACTIVATION,compliant
T0002,AML_THRESHOLD,violates
T0163,SANCTIONS,violates
T0224,KYC_EXPIRED,compliant
T0266,HIGH_RISK_JURISDICTION,violates
T0413,ROUND_NUMBER_ANOMALY,compliant
T0389,DORMANT_REACTIVATION,compliant
T0140,STRUCTURING,compliant
T0153,SANCTIONS,violates
T0179,SANCTIONS,compliant
T0360,DORMANT_REACTIVATION,violates
T0205,KYC_EXPIRED,violates
T0226,KYC_EXPIRED,compliant
T0406,ROUND_NUMBER_ANOMALY,compliant
T0365,DORMANT_REACTIVATION,violates
T0274,HIGH_RISK_JURISDICTION,violates
T0212,KYC_EXPIRED,violates
T0249,KYC_EXPIRED,compliant
T0015,AML_THRESHOLD,violates
T0225,KYC_EXPIRED,compliant
T0351,DORMANT_REACTIVATION,violates
T0364,DORMANT_REACTIVATION,violates
T0053,AML_THRESHOLD,compliant
T0030,AML_THRESHOLD,violates
T0300,HIGH_RISK_JURISDICTION,compliant
T0289,HIGH_RISK_JURISDICTION,compliant
T0037,AML_THRESHOLD,violates
T0159,SANCTIONS,violates
T0176,SANCTIONS,compliant
T0098,STRUCTURING,violates
T0135,STRUCTURING,compliant
T0227,KYC_EXPIRED,compliant
T0094,STRUCTURING,violates
T0261,HIGH_RISK_JURISDICTION,violates
T0095,STRUCTURING,violates
T0096,STRUCTURING,violates
T0122,STRUCTURING,compliant
T0278,HIGH_RISK_JURISDICTION,compliant
T0347,VELOCITY,compliant
T0348,VELOCITY,compliant
T0375,DORMANT_REACTIVATION,compliant
T0415,ROUND_NUMBER_ANOMALY,compliant
T0020,AML_THRESHOLD,violates
T0097,STRUCTURING,violates
T0079,AML_THRESHOLD,compliant
T0387,DORMANT_REACTIVATION,compliant
T0112,STRUCTURING,compliant
T0127,STRUCTURING,compliant
T0228,KYC_EXPIRED,compliant
T0297,HIGH_RISK_JURISDICTION,compliant
T0074,AML_THRESHOLD,compliant
T0154,SANCTIONS,violates
T0262,HIGH_RISK_JURISDICTION,violates
T0078,AML_THRESHOLD,compliant
T0005,AML_THRESHOLD,violates
T0054,AML_THRESHOLD,compliant
T0064,AML_THRESHOLD,compliant
T0119,STRUCTURING,compliant
T0363,DORMANT_REACTIVATION,violates
T0408,ROUND_NUMBER_ANOMALY,compliant
T0286,HIGH_RISK_JURISDICTION,compliant
T0062,AML_THRESHOLD,compliant
T0282,HIGH_RISK_JURISDICTION,compliant
T0019,AML_THRESHOLD,violates
T0352,DORMANT_REACTIVATION,violates
T0260,HIGH_RISK_JURISDICTION,violates
T0369,DORMANT_REACTIVATION,violates
T0144,SANCTIONS,violates
T0374,DORMANT_REACTIVATION,compliant
T0145,SANCTIONS,violates
T0111,STRUCTURING,compliant
T0409,ROUND_NUMBER_ANOMALY,compliant
T0149,SANCTIONS,violates
T0024,AML_THRESHOLD,violates
T0143,SANCTIONS,violates
T0201,KYC_EXPIRED,violates
T0404,ROUND_NUMBER_ANOMALY,violates
T0039,AML_THRESHOLD,violates
T0403,ROUND_NUMBER_ANOMALY,violates
T0023,AML_THRESHOLD,violates
T0146,SANCTIONS,violates
T0263,HIGH_RISK_JURISDICTION,violates
T0405,ROUND_NUMBER_ANOMALY,violates
T0018,AML_THRESHOLD,violates
T0208,KYC_EXPIRED,violates
T0295,HIGH_RISK_JURISDICTION,compliant
T0213,KYC_EXPIRED,violates
T0235,KYC_EXPIRED,compliant
T0090,STRUCTURING,violates
T0092,STRUCTURING,violates
T0105,STRUCTURING,violates
T0240,KYC_EXPIRED,compliant
T0356,DORMANT_REACTIVATION,violates
T0359,DORMANT_REACTIVATION,violates
T0049,AML_THRESHOLD,compliant
T0091,STRUCTURING,violates
T0259,HIGH_RISK_JURISDICTION,violates
T0293,HIGH_RISK_JURISDICTION,compliant
T0358,DORMANT_REACTIVATION,violates
T0058,AML_THRESHOLD,compliant
T0089,STRUCTURING,violates
T0093,STRUCTURING,violates
T0107,STRUCTURING,violates
T0172,SANCTIONS,compliant
T0246,KYC_EXPIRED,compliant
T0108,STRUCTURING,violates
T0104,STRUCTURING,violates
T0106,STRUCTURING,violates
T0283,HIGH_RISK_JURISDICTION,compliant
T0349,VELOCITY,compliant
T0350,VELOCITY,compliant
T0355,DORMANT_REACTIVATION,violates
T0072,AML_THRESHOLD,compliant
T0088,STRUCTURING,violates
T0086,STRUCTURING,violates
T0157,SANCTIONS,violates
T0411,ROUND_NUMBER_ANOMALY,compliant
T0003,AML_THRESHOLD,violates
T0025,AML_THRESHOLD,violates
T0087,STRUCTURING,violates
T0066,AML_THRESHOLD,compliant
T0361,DORMANT_REACTIVATION,violates
T0218,KYC_EXPIRED,violates
T0221,KYC_EXPIRED,compliant
T0379,DORMANT_REACTIVATION,compliant
T0128,STRUCTURING,compliant
T0183,SANCTIONS,compliant
T0269,HIGH_RISK_JURISDICTION,violates
T0280,HIGH_RISK_JURISDICTION,compliant
T0017,AML_THRESHOLD,violates
T0265,HIGH_RISK_JURISDICTION,violates
T0185,SANCTIONS,compliant
T0202,KYC_EXPIRED,violates
T0012,AML_THRESHOLD,violates
T0043,AML_THRESHOLD,compliant
T0070,AML_THRESHOLD,compliant
T0199,KYC_EXPIRED,violates
T0273,HIGH_RISK_JURISDICTION,violates
T0161,SANCTIONS,violates
T0275,HIGH_RISK_JURISDICTION,violates
T0298,HIGH_RISK_JURISDICTION,compliant
T0340,VELOCITY,compliant
T0341,VELOCITY,compliant
T0342,VELOCITY,compliant
T0343,VELOCITY,compliant
T0136,STRUCTURING,compliant
T0138,STRUCTURING,compliant
T0158,SANCTIONS,violates
T0186,SANCTIONS,compliant
T0211,KYC_EXPIRED,violates
T0290,HIGH_RISK_JURISDICTION,compliant
T0169,SANCTIONS,violates
T0116,STRUCTURING,compliant
