account_id,client_id,account_type,status,open_date,last_active_date,default_currency
A0047,C025,checking,active,2023-06-29,2023-12-22,USD
A0048,C025,checking,active,2020-11-23,2021-06-06,USD
A0049,C026,checking,active,2023-01-26,2024-02-06,USD
A0050,C026,checking,active,2022-01-26,2023-09-03,USD
A0051,C026,checking,active,2019-04-04,2021-09-10,GBP
A0052,C027,checking,active,2023-10-25,2024-04-19,USD
A0053,C027,savings,active,2021-12-14,2022-11-14,GBP
A0054,C027,checking,active,2019-03-29,2021-09-02,EUR
A0055,C028,checking,active,2022-09-09,2024-02-20,USD
A0056,C028,checking,active,2023-10-06,2024-02-12,EUR
A0057,C028,checking,active,2021-08-28,2023-10-08,USD
A0058,C029,checking,active,2020-06-08,2023-07-06,USD
A0059,C030,checking,active,2020-03-17,2020-06-10,USD
A0060,C030,checking,active,2019-01-24,2021-09-25,USD
A0061,C030,checking,active,2022-02-02,2022-10-06,USD
A0062,C031,checking,active,2022-05-14,2023-08-18,USD
A0063,C031,checking,active,2023-10-26,2024-04-11,KZT
A0064,C032,savings,active,2020-04-12,2020-09-29,EUR
A0065,C033,business,active,2022-07-16,2023-03-07,EUR
A0066,C034,savings,active,2023-03-21,2023-12-18,EUR
A0067,C035,savings,active,2021-04-26,2022-11-01,USD
A0068,C036,checking,active,2019-09-25,2023-11-04,GBP
A0069,C036,savings,active,2022-03-07,2022-07-25,KZT
A0070,C036,checking,active,2020-09-11,2022-11-18,EUR
A0071,C037,checking,active,2020-08-09,2024-03-15,EUR
A0072,C038,savings,active,2019-02-27,2023-01-28,USD
A0073,C038,checking,active,2020-10-01,2021-01-23,USD
A0074,C039,savings,active,2023-07-16,2024-04-30,USD
A0075,C039,checking,active,2021-07-27,2023-04-05,USD
A0076,C040,savings,active,2020-05-12,2023-01-08,USD
A0077,C040,business,active,2019-10-24,2022-10-26,USD
A0078,C041,checking,active,2019-08-01,2022-05-17,GBP
A0079,C041,checking,active,2020-08-08,2022-03-10,USD
A0080,C041,business,active,2023-06-10,2023-02-09,USD
A0081,C042,savings,active,2020-09-23,2024-03-25,USD
A0082,C042,checking,active,2021-02-25,2023-01-21,USD
A0083,C043,business,active,2022-01-06,2022-11-18,EUR
A0084,C043,checking,active,2022-05-18,2024-01-07,KZT
A0085,C044,checking,active,2022-07-28,2023-10-17,GBP
A0086,C045,checking,active,2021-04-03,2024-02-02,USD
A0087,C045,checking,active,2022-04-11,2022-12-23,USD
A0088,C045,checking,active,2020-03-15,2023-07-19,EUR
A0089,C046,savings,active,2021-07-16,2024-05-31,USD
A0090,C046,checking,active,2019-12-26,2022-08-11,USD
A0091,C047,checking,active,2019-11-18,2021-01-15,EUR
A0092,C048,checking,active,2022-11-20,2023-07-04,USD
A0093,C048,business,active,2019-11-12,2023-04-02,USD
A0094,C048,business,active,2022-05-04,2022-09-13,USD
A0095,C049,checking,active,2022-12-02,2023-11-06,USD
A0096,C049,business,active,2022-05-22,2022-08-06,EUR
A0097,C050,business,active,2023-03-21,2024-03-11,USD
A0098,C050,savings,active,2019-01-12,2019-03-08,USD
A0099,C050,checking,active,2021-06-15,2023-06-12,USD
